trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
156,False,"{'a': 0.5, 'e': 0.457510005540005}",20,3,-9.13505528662477,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.45522245551230495}",30,15,1.516030640607244,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.4529463432347434}",25,10,11.222626154189479,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.4506816115185697}",20,13,-6.240218908383685,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.4484282034609769}",25,14,-2.406405979287391,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.446186062443672}",30,18,14.663232038887264,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.4439551321314536}",30,0,-14.76845829805865,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.4417353564707963}",30,6,-117.75472206897349,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 2}",1
164,False,"{'a': 0.5, 'e': 0.43952667968844233}",20,0,-76.6763086126598,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
165,False,"{'a': 0.5, 'e': 0.43732904629000013}",25,20,7.340018125927435,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.4351424010585501}",25,0,1.2528453007880684,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.43296668905325736}",20,13,9.916847584907847,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.43080185560799106}",25,6,-53.52551819142818,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 2}",1
169,False,"{'a': 0.5, 'e': 0.4286478463299511}",20,12,-9.089796665489171,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.42650460709830135}",20,0,-22.30740262375329,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.42437208406280985}",20,0,-66.44563158624811,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
172,False,"{'a': 0.5, 'e': 0.4222502236424958}",25,4,10.814645119155795,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.42013897252428334}",20,2,-0.7103556177530941,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.4180382776616619}",30,0,-43.31090608069328,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
175,False,"{'a': 0.5, 'e': 0.4159480862733536}",20,8,8.360066705832024,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.41386834584198684}",25,3,-42.9105069297841,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 1}",1
177,False,"{'a': 0.5, 'e': 0.4117990041127769}",30,12,-10.402388638219307,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.40974000909221303}",20,1,-10.977975725484791,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.40769130904675194}",25,0,8.788110466227817,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.40565285250151817}",30,16,18.817290285577663,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.4036245882390106}",30,12,-12.512308449938011,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
